ENSP00000331912	PF02931-50-253
ENSP00000371512	PF04790-36-303
ENSP00000354481	Q9C0B6.249.783-249-783
ENSP00000369279	PF00001-47-297
ENSP00000362393	PF00907-93-283
ENSP00000333496	IDR-117-167
ENSP00000386840	IDR-2650-2921
ENSP00000268919	PF00225-219-542
ENSP00000430497	IDR-2773-2846
ENSP00000420091	O94933.777.977-777-977
ENSP00000264381	PF00135-11-550
ENSP00000384638	PF01044-18-332
ENSP00000200181	PF00362-37-453
ENSP00000399753	IDR-87-143
ENSP00000329374	PF00079-46-412
ENSP00000408994	PF09737-153-558
ENSP00000222390	PF00051-128-206
ENSP00000367001	PF00930-195-561
