ENSP00000421690	Q9H799.1186.1332-2306-2452
ENSP00000339801	PF00884-38-446
ENSP00000403756	PF03982-45-290
ENSP00000357402	PF05640-1-207
ENSP00000384881	PF00005-1057-1184
ENSP00000384038	PF00365-449-731
ENSP00000231188	PF01094-68-476
ENSP00000352401	PF00834-6-203
ENSP00000266659	PF00188-38-175
ENSP00000298283	PF00252-5-165
ENSP00000285879	PF01454-915-1084
ENSP00000295454	PF02932-250-469
ENSP00000280193	PF00341-131-211
ENSP00000386137	PF00001-40-289
ENSP00000444369	IDR-608-796
ENSP00000222567	IDR-204-338
ENSP00000400908	PF07679-60-159
ENSP00000345873	PF00916-193-471
ENSP00000358366	IDR-1980-2144
ENSP00000433109	IDR-431-499
ENSP00000361027	PF12240-599-807
ENSP00000329825	IDR-1062-1182
ENSP00000444856	PF00888-33-664
ENSP00000420826	IDR-30-198
ENSP00000358016	PF12140-93-207
ENSP00000344403	IDR-5616-5796
ENSP00000356520	PF00035-5-69
ENSP00000354950	IDR-1510-1655
ENSP00000296585	PF08441-649-1048
ENSP00000464312	PF00431-193-283
ENSP00000353650	PF00061-6-131
ENSP00000422496	PF10300-142-598
ENSP00000423541	PF07690-160-456
ENSP00000384144	PF00012-36-809
ENSP00000362217	IDR-476-599
ENSP00000359596	PF08434-8-265
ENSP00000297581	Q9H295.116.213-116-213
ENSP00000217939	PF07679-2251-2341
ENSP00000262442	PF08393-1290-1703
ENSP00000389072	PF00001-39-287
ENSP00000362479	PF00431-445-553
ENSP00000379818	PF10565-839-1464
ENSP00000364152	PF00001-41-289
ENSP00000401112	Q9UPW6.59.164-59-164
ENSP00000382777	PF05287-1-170
ENSP00000463963	PF00520-1388-1597
ENSP00000360913	Q9NWH7.1.157-1-157
ENSP00000301141	PF00067-34-490
ENSP00000339726	PF00001-39-288
ENSP00000005284	PF00822-7-195
ENSP00000263857	PF04998-958-1672
ENSP00000375236	PF01500-4-74
ENSP00000326247	Q8IVG5.687.863-687-863
ENSP00000331514	PF00022-3-375
ENSP00000347081	PF00638-1346-1466
ENSP00000303864	PF00001-41-289
ENSP00000265362	PF01403-57-498
ENSP00000289932	PF00474-58-487
ENSP00000323688	PF00001-80-329
ENSP00000239444	PF00028-457-553
ENSP00000239450	PF00028-356-441
ENSP00000411096	Q86UQ4.3027.3219-3027-3219
ENSP00000280665	IDR-209-284
ENSP00000369927	PF00248-19-300
ENSP00000286482	PF01454-119-289
ENSP00000260126	PF03137-128-735
ENSP00000278187	PF00307-37-155
ENSP00000349078	PF00348-111-380
ENSP00000383715	PF00001-63-316
ENSP00000231021	PF00028-164-258
ENSP00000258229	A6NKB5.1385.1618-1385-1618
ENSP00000324251	PF00001-42-290
ENSP00000420931	PF12003-627-857
ENSP00000355537	PF00307-154-256
ENSP00000283916	PF00089-187-412
ENSP00000426082	PF00431-462-594
