ENSP00000417674	IDR-1-348
ENSP00000373539	PF02469-527-654
ENSP00000245923	IDR-1-261
ENSP00000305424	PF00001-41-290
ENSP00000265104	IDR-3441-3495
ENSP00000357796	IDR-104-811
ENSP00000240189	O60811.1.120-1-120
ENSP00000306261	PF00038-110-423
ENSP00000342235	PF07714-719-973
ENSP00000255189	PF01266-52-414
ENSP00000397925	PF00122-137-369
ENSP00000356237	PF00168-287-374
ENSP00000316137	IDR-59-229
ENSP00000393474	PF00530-168-264
ENSP00000328016	PF05527-108-291
ENSP00000275159	Q96NH3.162.390-162-390
ENSP00000381781	IDR-1-167
ENSP00000264033	PF00097-381-419
ENSP00000260952	PF00733-310-601
ENSP00000443191	PF01344-381-431
ENSP00000371503	PF00386-203-329
ENSP00000381097	PF07714-620-878
ENSP00000354778	PF02210-401-529
ENSP00000348314	IDR-1253-1335
ENSP00000219054	PF00501-83-493
ENSP00000386284	PF00490-5-327
ENSP00000295266	PF00676-65-359
ENSP00000442834	IDR-30-247
ENSP00000230582	PF05577-64-494
ENSP00000364035	PF01425-69-513
ENSP00000415654	IDR-234-326
ENSP00000287713	PF01467-12-274
ENSP00000458791	PF00001-47-285
ENSP00000449629	IDR-944-1043
ENSP00000367655	PF01833-1659-1743
ENSP00000345667	IDR-342-546
ENSP00000438264	IDR-520-560
ENSP00000423541	PF07690-160-456
ENSP00000263525	PF00041-416-495
ENSP00000439689	IDR-240-428
ENSP00000347457	PF01031-216-505
ENSP00000407436	IDR-280-341
ENSP00000292301	PF10320-53-315
ENSP00000367658	PF00022-8-377
ENSP00000354610	PF00128-46-345
ENSP00000322801	PF00001-43-295
ENSP00000217961	PF00884-27-513
ENSP00000311273	PF03028-3319-4021
ENSP00000315011	IDR-393-427
ENSP00000321427	IDR-778-904
ENSP00000362849	PF01044-18-326
ENSP00000263817	PF00664-761-1029
ENSP00000379531	PF07810-724-830
ENSP00000251127	IDR-736-856
ENSP00000371201	Q8NE18.89.181-89-181
ENSP00000379818	IDR-1238-1324
ENSP00000379818	IDR-671-705
ENSP00000348812	PF07679-236-319
ENSP00000261058	IDR-1-67
ENSP00000035383	IDR-1321-1434
ENSP00000353670	IDR-1034-1139
ENSP00000308770	PF00685-38-288
ENSP00000292401	PF07654-215-291
ENSP00000255381	IDR-1435-1638
ENSP00000294954	PF00001-376-623
ENSP00000363512	IDR-107-164
ENSP00000306974	PF00001-39-288
ENSP00000384638	PF01044-336-914
ENSP00000263062	PF06752-582-836
ENSP00000365188	IDR-428-742
ENSP00000369738	PF00001-70-321
ENSP00000328934	PF00001-39-287
ENSP00000465630	IDR-1280-1457
ENSP00000375234	PF01500-4-140
ENSP00000447224	PF05729-337-505
ENSP00000425956	Q63HN8.1634.1970-3610-3946
ENSP00000431748	PF00028-460-556
ENSP00000332404	PF00047-136-196
ENSP00000269305	PF00870-95-288
ENSP00000433378	PF00028-247-341
ENSP00000385450	IDR-1172-1462
ENSP00000266579	PF01490-74-245
ENSP00000342448	PF00001-42-290
ENSP00000323982	PF00001-42-290
ENSP00000352622	IDR-298-444
ENSP00000345243	PF07686-26-129
ENSP00000274813	PF02310-616-726
ENSP00000396519	PF11841-114-285
ENSP00000257312	IDR-764-867
ENSP00000251643	PF00038-124-437
ENSP00000271751	IDR-694-762
ENSP00000421339	PF03137-106-665
ENSP00000428324	Q86V25.99.270-99-270
ENSP00000357190	IDR-40-98
ENSP00000218316	PF10320-39-309
ENSP00000274170	PF00028-64-150
ENSP00000363771	PF01391-58-113
ENSP00000392753	PF00069-326-572
ENSP00000400894	IDR-73-267
ENSP00000231021	IDR-654-693
ENSP00000357132	PF00001-57-283
ENSP00000366326	IDR-313-584
ENSP00000358316	IDR-175-310
ENSP00000365807	PF00503-9-354
ENSP00000384428	IDR-190-281
ENSP00000276211	PF00620-236-390
