ENSP00000368017	IDR-1-550
ENSP00000297405	PF00431-1939-2044
ENSP00000329467	PF00001-41-289
ENSP00000262367	PF08214-1345-1639
ENSP00000361855	IDR-179-582
ENSP00000467141	PF07679-6-97
ENSP00000303834	PF00001-43-291
ENSP00000372459	IDR-116-316
ENSP00000314038	IDR-356-420
ENSP00000369442	PF00232-58-369
ENSP00000384597	PF03153-9-478
ENSP00000378236	PF03153-713-1182
ENSP00000386630	PF00059-58-173
ENSP00000385450	IDR-1172-1462
ENSP00000384040	IDR-205-481
ENSP00000386884	PF00001-59-306
ENSP00000360217	PF00909-15-402
ENSP00000416996	PF00001-63-312
