ENSP00000278360	PF00089-474-732
ENSP00000265104	IDR-886-935
ENSP00000357943	PF00191-201-264
ENSP00000342876	IDR-375-460
ENSP00000356140	IDR-1253-1347
ENSP00000355920	PF00083-146-524
ENSP00000384000	IDR-253-645
ENSP00000267460	PF04710-5-420
ENSP00000472368	IDR-367-523
ENSP00000370521	PF00254-29-89
ENSP00000288840	PF03166-327-495
ENSP00000320092	PF03114-22-249
ENSP00000399679	IDR-55-949
ENSP00000311042	PF03953-261-382
ENSP00000299871	PF00096-378-400
ENSP00000454623	PF08441-615-1032
ENSP00000301260	IDR-61-145
ENSP00000373472	PF01421-242-452
ENSP00000381097	PF01404-19-196
ENSP00000374589	PF04103-51-212
ENSP00000406022	PF07679-168-257
ENSP00000345684	IDR-3023-3078
ENSP00000441410	IDR-192-564
ENSP00000358810	PF07923-66-347
ENSP00000283141	Q5T4T6.25.390-25-390
ENSP00000341940	PF01146-4-149
ENSP00000261643	PF01040-168-418
ENSP00000420194	PF00003-632-870
ENSP00000307822	PF10320-159-450
ENSP00000262290	PF03098-138-684
ENSP00000369320	PF00754-81-216
ENSP00000257189	PF00028-272-374
ENSP00000362057	PF08022-295-388
ENSP00000316228	PF00059-286-391
ENSP00000264917	IDR-322-436
ENSP00000363972	IDR-92-163
ENSP00000276570	IDR-151-199
ENSP00000240687	PF00001-36-257
ENSP00000370669	IDR-579-610
ENSP00000467141	PF07679-15210-15297
ENSP00000363259	Q711Q0.1.104-1-104
ENSP00000317327	PF00300-398-595
ENSP00000296513	PF02137-249-569
ENSP00000209929	PF00743-2-471
ENSP00000460380	PF00443-530-1366
ENSP00000222212	PF00822-11-195
ENSP00000353537	PF00001-39-287
ENSP00000421646	PF00168-49-130
ENSP00000363832	PF03450-426-530
ENSP00000353922	IDR-532-807
ENSP00000448219	PF05296-14-314
ENSP00000324172	PF00690-50-118
ENSP00000253255	PF02010-243-710
ENSP00000403490	PF00001-51-306
ENSP00000470961	IDR-206-391
ENSP00000226209	PF01576-1069-1927
ENSP00000188790	PF00930-106-473
ENSP00000325506	PF00650-145-274
ENSP00000266483	PF04922-29-427
ENSP00000426146	IDR-333-388
ENSP00000379228	IDR-1204-1261
ENSP00000263816	IDR-3836-3979
ENSP00000335325	IDR-154-478
ENSP00000288699	PF01979-58-406
ENSP00000303960	PF00664-319-590
ENSP00000295379	PF00688-49-256
ENSP00000229179	PF04121-208-910
ENSP00000364651	PF05831-1-108
ENSP00000282493	IDR-185-335
ENSP00000296452	IDR-3394-3874
ENSP00000310704	PF10320-37-253
ENSP00000341942	IDR-1153-1218
ENSP00000360913	IDR-156-488
ENSP00000361021	PF10409-188-349
ENSP00000405514	IDR-241-502
ENSP00000328402	PF00001-39-287
ENSP00000417955	IDR-665-744
ENSP00000360264	PF00002-456-705
ENSP00000310788	PF00001-42-280
ENSP00000289416	PF00501-96-508
ENSP00000320431	PF00777-112-376
ENSP00000321077	PF07686-32-129
ENSP00000369742	PF10320-119-232
ENSP00000339155	PF00188-41-169
ENSP00000434516	PF07992-164-487
ENSP00000372649	PF10630-1-263
ENSP00000315006	PF07662-362-585
ENSP00000419101	IDR-538-591
ENSP00000362403	PF00001-50-307
ENSP00000378710	IDR-456-549
ENSP00000364249	PF00068-22-132
ENSP00000250378	PF00089-22-240
ENSP00000322788	PF00045-377-424
ENSP00000355843	PF00084-180-237
ENSP00000418525	PF05649-80-483
ENSP00000400365	PF00055-39-285
ENSP00000220676	P56715.1987.2156-1987-2156
ENSP00000445381	PF00787-1247-1346
ENSP00000265077	P13611.920.1010-920-1010
ENSP00000328478	PF00520-177-371
ENSP00000363779	PF04762-1-954
ENSP00000338769	PF01412-429-542
ENSP00000318884	PF06346-1130-1270
ENSP00000311899	PF00400-335-373
ENSP00000355443	PF00001-42-291
ENSP00000375899	IDR-242-597
